original_file,new_file,canonical_file,asset_type,module_id,sequence,side,group,width,height,notes
其他配件/遊戲版圖.png,knarr_core_board_001.png,component_images/knarr_core_board_001.png,board,core,1,front,board,1198,438,遊戲版圖。
其他配件/1船隻板塊_頁面_1.png,knarr_core_ship_tile_side_001.png,component_images/knarr_core_ship_tile_side_001.png,component,core,1,unknown,ship_tile,2980,1411,船隻板塊面；基礎/進階與玩家顏色需人工確認。
其他配件/1船隻板塊_頁面_2.png,knarr_core_ship_tile_side_002.png,component_images/knarr_core_ship_tile_side_002.png,component,core,2,unknown,ship_tile,2776,1358,船隻板塊面；基礎/進階與玩家顏色需人工確認。
其他配件/2船隻板塊_頁面_3.png,knarr_core_ship_tile_side_003.png,component_images/knarr_core_ship_tile_side_003.png,component,core,3,unknown,ship_tile,3202,1506,船隻板塊面；基礎/進階與玩家顏色需人工確認。
其他配件/2船隻板塊_頁面_4.png,knarr_core_ship_tile_side_004.png,component_images/knarr_core_ship_tile_side_004.png,component,core,4,unknown,ship_tile,3152,1536,船隻板塊面；基礎/進階與玩家顏色需人工確認。
其他配件/3船隻板塊_頁面_5.png,knarr_core_ship_tile_side_005.png,component_images/knarr_core_ship_tile_side_005.png,component,core,5,unknown,ship_tile,2475,1284,船隻板塊面；基礎/進階與玩家顏色需人工確認。
其他配件/3船隻板塊_頁面_6.png,knarr_core_ship_tile_side_006.png,component_images/knarr_core_ship_tile_side_006.png,component,core,6,unknown,ship_tile,2313,1201,船隻板塊面；基礎/進階與玩家顏色需人工確認。
其他配件/4船隻板塊_頁面_7.png,knarr_core_ship_tile_side_007.png,component_images/knarr_core_ship_tile_side_007.png,component,core,7,unknown,ship_tile,2643,1376,船隻板塊面；基礎/進階與玩家顏色需人工確認。
其他配件/4船隻板塊_頁面_8.png,knarr_core_ship_tile_side_008.png,component_images/knarr_core_ship_tile_side_008.png,component,core,8,unknown,ship_tile,2476,1298,船隻板塊面；基礎/進階與玩家顏色需人工確認。
